,ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
0,63581743,0,2039-03-16,60.0,0,11.0,67349.0,No,0.0,No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,4461,2,No,3,0,18.0,0,Highly Urban/ Urban
1,132761049,0,2056-01-21,43.0,0,11.0,91449.0,No,257252.0,No,M,z_High School,z_Blue Collar,22,Commercial,14940,1,Minivan,yes,0,0,No,0,0,1.0,0,Highly Urban/ Urban
2,921317019,0,2051-11-18,48.0,0,11.0,52881.0,No,0.0,No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,0,0,No,2,0,10.0,0,Highly Urban/ Urban
3,727598473,0,2064-03-05,35.0,1,10.0,16039.0,No,124191.0,Yes,z_F,z_High School,Clerical,5,Private,4010,4,SUV,no,38690,2,No,3,0,10.0,0,Highly Urban/ Urban
4,450221861,0,2048-06-05,51.0,0,14.0,53529.0,No,306251.0,Yes,M,<High School,z_Blue Collar,32,Private,15440,7,Minivan,yes,0,0,No,0,0,6.0,0,Highly Urban/ Urban
5,743146596,0,2049-05-17,50.0,0,11.0,114986.0,No,243925.0,Yes,z_F,PhD,Doctor,36,Private,18000,1,SUV,no,19217,2,Yes,3,0,17.0,0,Highly Urban/ Urban
6,871024631,0,2065-05-05,34.0,1,12.0,125301.0,Yes,0.0,No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,2946,7.0,1,Highly Urban/ Urban
7,792300541,0,2045-02-28,54.0,0,11.0,18755.0,No,160661.0,Yes,z_F,<High School,z_Blue Collar,33,Private,8780,1,SUV,no,0,0,No,0,0,1.0,0,Highly Urban/ Urban
8,7945239,1,2059-09-17,40.0,1,11.0,50815.0,Yes,0.0,No,M,z_High School,Manager,21,Private,18930,6,Minivan,no,3295,1,No,2,6477,1.0,1,Highly Urban/ Urban
9,3577610,0,2055-08-21,44.0,2,12.0,43486.0,Yes,0.0,No,z_F,z_High School,z_Blue Collar,30,Commercial,5900,10,SUV,no,0,0,No,0,0,10.0,0,z_Highly Rural/ Rural
10,892208080,1,2061-12-14,37.0,2,11.0,107961.0,No,333680.0,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,4021,7.0,1,Highly Urban/ Urban
11,77382913,0,2064-11-22,34.0,0,10.0,62978.0,No,0.0,No,z_F,Bachelors,Clerical,34,Private,11200,1,SUV,no,0,0,No,0,2501,1.0,1,Highly Urban/ Urban
12,856886560,0,2049-10-22,50.0,0,7.0,106952.0,No,0.0,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,0,0,No,1,0,17.0,0,z_Highly Rural/ Rural
13,308455362,0,2045-12-25,53.0,0,14.0,77100.0,No,0.0,No,z_F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,6077,11.0,1,Highly Urban/ Urban
14,989828809,0,2056-06-19,43.0,0,5.0,52642.0,No,209970.0,Yes,z_F,Masters,Professional,36,Private,22420,7,Minivan,no,0,0,No,0,0,1.0,0,z_Highly Rural/ Rural
15,376482434,0,2044-03-03,55.0,0,11.0,59162.0,No,180232.0,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,5028,2,Yes,3,0,9.0,0,Highly Urban/ Urban
16,665591504,0,2046-07-19,53.0,0,11.0,130795.0,No,0.0,No,M,PhD,z_Blue Collar,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,1267,10.0,1,Highly Urban/ Urban
17,713692930,0,2064-08-17,35.0,2,11.0,21204.0,Yes,0.0,No,M,z_High School,Clerical,74,Private,9230,6,Pickup,no,0,0,Yes,0,0,4.0,0,z_Highly Rural/ Rural
18,588888550,0,2054-01-17,45.0,0,0.0,0.0,No,106859.0,Yes,z_F,<High School,Home Maker,48,Private,6000,1,SUV,no,0,0,No,3,2920,5.0,1,Highly Urban/ Urban
19,140015922,0,2060-08-06,39.0,3,12.0,51884.0,Yes,180951.0,No,z_F,Bachelors,Clerical,43,Private,10590,6,SUV,no,0,0,No,0,0,13.0,0,z_Highly Rural/ Rural
20,162166370,0,2040-04-19,59.0,0,12.0,87460.0,No,0.0,No,M,z_High School,Manager,45,Private,15420,1,Minivan,yes,44857,2,No,4,4111,1.0,1,Highly Urban/ Urban
21,884513944,0,2056-12-20,42.0,0,11.0,59945.0,No,192207.0,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,0,0,No,0,0,16.0,0,Highly Urban/ Urban
22,627708979,0,2065-09-14,34.0,3,13.0,34019.0,No,91875.0,Yes,z_F,Masters,Lawyer,27,Private,8300,7,SUV,no,0,0,No,0,0,20.0,0,Highly Urban/ Urban
23,116375554,0,2068-10-06,31.0,2,12.0,18903.0,No,93797.0,Yes,z_F,<High School,Clerical,48,Private,17330,4,Minivan,no,0,0,No,0,0,7.0,0,Highly Urban/ Urban
24,235358484,0,2071-02-22,28.0,1,13.0,44077.0,No,170598.0,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710,6,SUV,no,8935,2,No,0,6857,1.0,1,Highly Urban/ Urban
25,528040687,0,2056-02-07,43.0,0,13.0,37214.0,No,160661.0,Yes,M,<High School,z_Blue Collar,52,Commercial,26560,1,Panel Truck,yes,0,0,No,3,3627,1.0,1,Highly Urban/ Urban
26,652572577,0,2050-12-16,48.0,0,14.0,96274.0,No,282904.0,Yes,z_F,Masters,Lawyer,36,Private,11130,6,SUV,no,8250,1,No,5,0,14.0,0,Highly Urban/ Urban
27,410873772,0,2052-07-24,47.0,0,11.0,46281.0,No,0.0,No,z_F,<High School,z_Blue Collar,29,Private,19700,10,Minivan,no,0,0,No,1,0,5.0,0,Highly Urban/ Urban
28,254362485,2,2055-07-06,44.0,2,0.0,0.0,No,82344.0,Yes,z_F,z_High School,Home Maker,8,Private,5900,6,SUV,no,3338,3,No,0,0,11.0,0,Highly Urban/ Urban
29,69165559,0,2053-04-14,46.0,0,14.0,53529.0,No,207519.0,Yes,M,Bachelors,Professional,7,Commercial,25660,1,Panel Truck,no,2119,1,No,2,0,12.0,0,Highly Urban/ Urban
30,201327208,0,2038-12-14,60.0,0,12.0,37940.0,No,182739.0,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,11290,1,Sports Car,no,0,0,No,0,5247,1.0,1,Highly Urban/ Urban
31,573751437,0,2065-12-14,33.0,1,13.0,79606.0,No,225962.0,Yes,z_F,Bachelors,Professional,27,Private,16830,9,SUV,no,0,0,No,2,0,15.0,0,z_Highly Rural/ Rural
32,483050926,0,2067-04-17,32.0,1,9.0,31275.0,No,118160.0,Yes,z_F,z_High School,Clerical,26,Private,10030,1,SUV,no,0,0,No,0,4486,1.0,1,Highly Urban/ Urban
33,146989842,1,2055-04-09,44.0,2,17.0,45488.0,No,219378.0,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,no,0,0,No,0,0,12.0,0,Highly Urban/ Urban
34,742435591,0,2064-04-05,35.0,0,8.0,72193.0,No,0.0,No,z_F,Bachelors,Clerical,26,Private,12220,6,SUV,no,0,0,No,3,0,12.0,0,Highly Urban/ Urban
35,915517588,0,2059-05-06,40.0,2,0.0,53529.0,No,98777.0,Yes,z_F,Masters,Home Maker,15,Private,14130,6,SUV,no,38127,2,Yes,4,0,12.0,0,z_Highly Rural/ Rural
36,756785495,0,2045-05-15,54.0,0,12.0,33212.0,No,158432.0,Yes,M,<High School,z_Blue Collar,27,Commercial,24000,4,Panel Truck,no,0,0,No,5,4901,8.0,1,Highly Urban/ Urban
37,66662029,0,2050-02-14,49.0,0,5.0,49244.0,No,163444.0,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,no,0,0,No,1,0,1.0,0,Highly Urban/ Urban
38,294816298,2,2063-08-03,36.0,2,12.0,130540.0,Yes,344195.0,No,z_F,Bachelors,z_Blue Collar,5,Commercial,27200,4,Minivan,no,0,0,No,0,0,9.0,0,z_Highly Rural/ Rural
